date,lat,lon,tree_id,species,diam_app (cm),height_url,diam_url,notes,row,tree_idx,biomass_kg,biomass_tonnes,biomass_TCO2e,
10/17/22 15:57,37.19945507,-80.57588596,8DA11D43-FE57-45BB-AABE-E3080236DD36,Black Walnut,38.95662725,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FC7C1B91E-669B-41D7-BB13-C460819E5834.png?alt=media&token=1d947127-7354-4abe-9d78-965ff1f756fd,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FC5994028-4621-4C8B-A744-DD28D5DEB69B.png?alt=media&token=5be5190f-5a69-46bf-b7e8-e0c6463ac33f,R6P1,6,1,903.8571074,0.903857107,1.491364227,
10/17/22 15:59,37.19953143,-80.57579543,3C922067-605B-4D88-9C59-AD9C79F0EF81,Black Walnut,41.86301529,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F5BFBCD27-4284-4D61-8B67-7FF40AD73D63.png?alt=media&token=d9215973-9cd5-41da-a425-029363333467,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F86655A3B-727B-41CB-A841-972E70B870B3.png?alt=media&token=64cea458-3fea-44a5-bcb0-d3b105868af2,R6P2,6,2,1085.3961,1.0853961,1.790903564,
10/17/22 16:01,37.19961265,-80.57596207,514070F0-2FA5-44C3-8AC7-E768856BED28,Black Walnut,33.90750587,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FBBF8FA5F-7963-4D8B-A5B4-1493AD5114F9.png?alt=media&token=7768927d-0461-4c12-870e-59ff1b0b6bad,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F43E7D248-37D2-4CE4-A148-4D141AEF668F.png?alt=media&token=59f99e33-6a62-4bed-bd66-05f710bf2403,R6P3,6,3,634.967563,0.634967563,1.047696479,
10/17/22 16:08,37.19966652,-80.57570205,DCCFED1A-22DF-488D-8C32-D9A27549A6CC,Black Walnut,26.33180916,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FAECC1B39-5035-4260-BEDE-651246AB9743.png?alt=media&token=6c594537-7057-4904-8439-214a0e9bb301,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FDF77B0EE-CF68-4EB6-B69D-BA74B51A2243.png?alt=media&token=e3c852e2-4938-4f1a-a6e3-18739021dfe6,R6P4,6,4,333.7449873,0.333744987,0.550679229,
10/17/22 16:10,37.19972939,-80.57560662,0621C0F8-4F08-442B-BC72-3B34F138FD3C,Black Walnut,22.63458073,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F320A3BAC-17A9-430A-B8F0-7364D7B03CDD.png?alt=media&token=2db67b5d-10cd-4e30-a513-1cec2a1259d9,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FE83DE591-38C0-4F33-A094-B6C4929E2E08.png?alt=media&token=610f6ecb-e9d7-4c04-90a2-b09e1d4b363f,R6P5,6,5,227.1290528,0.227129053,0.374762937,
10/17/22 16:14,37.19971259,-80.57555548,FAEAF3D0-4600-4345-AA2A-0428B18000A9,Black Walnut,32.18153715,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FB39E0082-C204-490A-81C6-DF353886F46F.png?alt=media&token=19b2a435-2aed-4fc4-a77e-a0d1cad260b7,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F05BF3F8F-4674-4D2D-A922-A5E4EECE66E7.png?alt=media&token=71a320eb-8df3-4720-820c-e895e6c0e292,R6P6,6,6,555.9520999,0.5559521,0.917320965,
10/17/22 16:15,37.19981526,-80.57549316,00623E08-7E5B-479F-9A39-2A502829D4F6,Black Walnut,32.74746239,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FEAD58B38-F3F5-471D-8727-373C96A743A7.png?alt=media&token=6bf9a224-b7c4-41e7-809a-79ff12ba19fe,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FC38603A7-96E5-47E5-9E21-99D51ABAC832.png?alt=media&token=f8d43088-6d38-4b99-bad1-b431fe057813,R6P7,6,7,581.1595666,0.581159567,0.958913285,
10/17/22 16:16,37.19985649,-80.57559308,EF47ABFF-1AFB-4ABD-A40C-733D1EFE02EC,Black Walnut,27.47475505,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FF6AA5801-076D-4B24-8D5B-C9D1067A106E.png?alt=media&token=220e8905-20d6-4803-8f47-6182a468c81d,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FA4ACC683-0C8E-4448-B7FF-FBBA2321E0DE.png?alt=media&token=144f1b74-6b11-4921-ab13-e603ad1398c4,R7P6,7,6,371.8381785,0.371838178,0.613532994,
10/17/22 16:19,37.19977614,-80.57565956,5AE0A2EB-1AC1-4A74-9AF6-392403F268F8,Black Walnut,23.84747416,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F1D5FE870-8904-41D2-8CA0-0254879A2492.png?alt=media&token=b4d1c39d-4889-4456-a564-f4bbe428a022,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2FEDE627CC-0C04-4CDD-B38C-7D40675553BA.png?alt=media&token=ee484280-e3a3-4d2c-9872-e5d7f8b5c8c7,R7P5,7,5,259.381022,0.259381022,0.427978686,
10/17/22 16:22,37.19968549,-80.57573098,AFACC194-54E8-4830-A692-87BC53BC1566,Black Walnut,27.3685962,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F901918FD-9C91-46CA-879E-71EF1327D2A3.png?alt=media&token=4f4999ca-17e9-457e-9c25-99747210688f,https://firebasestorage.googleapis.com:443/v0/b/working-trees.appspot.com/o/trees%2F2AD1AB04-6064-46C6-87D7-17CC88A55228.png?alt=media&token=87f734a4-c7fc-48db-ad8b-19f1473c19ac,R7P4,7,4,368.1944499,0.36819445,0.607520842,
